STATUS | wrapper  | 2018/08/31 13:07:56 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/31 13:07:56 | Java Service Wrapper Community Edition 32-bit 3.5.35
STATUS | wrapper  | 2018/08/31 13:07:56 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/31 13:07:56 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/31 13:07:56 | 
STATUS | wrapper  | 2018/08/31 13:07:57 | Launching a JVM...
INFO   | jvm 1    | 2018/08/31 13:07:57 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:07:57 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:08:02 | Launching a JVM...
INFO   | jvm 2    | 2018/08/31 13:08:02 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:08:02 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:08:07 | Launching a JVM...
INFO   | jvm 3    | 2018/08/31 13:08:07 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:08:07 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:08:12 | Launching a JVM...
INFO   | jvm 4    | 2018/08/31 13:08:12 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:08:12 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:08:15 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2018/08/31 13:08:15 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/08/31 13:09:14 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/31 13:09:14 | Java Service Wrapper Community Edition 32-bit 3.5.35
STATUS | wrapper  | 2018/08/31 13:09:14 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/31 13:09:14 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/31 13:09:14 | 
STATUS | wrapper  | 2018/08/31 13:09:14 | Launching a JVM...
INFO   | jvm 1    | 2018/08/31 13:09:15 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:09:15 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:09:19 | Launching a JVM...
INFO   | jvm 2    | 2018/08/31 13:09:21 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:09:21 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:09:26 | Launching a JVM...
INFO   | jvm 3    | 2018/08/31 13:09:26 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:09:26 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:09:31 | Launching a JVM...
INFO   | jvm 4    | 2018/08/31 13:09:31 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:09:31 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:09:36 | Launching a JVM...
INFO   | jvm 5    | 2018/08/31 13:09:36 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:09:36 | JVM exited while loading the application.
FATAL  | wrapper  | 2018/08/31 13:09:37 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2018/08/31 13:09:37 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2018/08/31 13:09:37 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/08/31 13:14:11 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/31 13:14:11 | Java Service Wrapper Community Edition 32-bit 3.5.35
STATUS | wrapper  | 2018/08/31 13:14:11 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/31 13:14:11 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/31 13:14:11 | 
STATUS | wrapper  | 2018/08/31 13:14:12 | Launching a JVM...
INFO   | jvm 1    | 2018/08/31 13:14:12 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:14:12 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:14:17 | Launching a JVM...
INFO   | jvm 2    | 2018/08/31 13:14:17 | Error: Could not find or load main class Main
ERROR  | wrapper  | 2018/08/31 13:14:17 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:14:45 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/31 13:14:45 | Java Service Wrapper Community Edition 32-bit 3.5.35
STATUS | wrapper  | 2018/08/31 13:14:45 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/31 13:14:45 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/31 13:14:45 | 
STATUS | wrapper  | 2018/08/31 13:14:45 | Launching a JVM...
INFO   | jvm 1    | 2018/08/31 13:14:46 | Enter "exit" for quit
ERROR  | wrapper  | 2018/08/31 13:14:57 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 13:15:02 | Launching a JVM...
INFO   | jvm 2    | 2018/08/31 13:15:07 | java.util.concurrent.TimeoutException
INFO   | jvm 2    | 2018/08/31 13:15:07 | 	at com.rabbitmq.utility.BlockingCell.get(BlockingCell.java:77)
INFO   | jvm 2    | 2018/08/31 13:15:07 | 	at com.rabbitmq.utility.BlockingCell.uninterruptibleGet(BlockingCell.java:120)
INFO   | jvm 2    | 2018/08/31 13:15:07 | 	at com.rabbitmq.utility.BlockingValueOrException.uninterruptibleGetValue(BlockingValueOrException.java:36)
INFO   | jvm 2    | 2018/08/31 13:15:07 | 	at com.rabbitmq.client.impl.AMQChannel$BlockingRpcContinuation.getReply(AMQChannel.java:494)
INFO   | jvm 2    | 2018/08/31 13:15:07 | 	at com.rabbitmq.client.impl.AMQConnection.start(AMQConnection.java:315)
INFO   | jvm 2    | 2018/08/31 13:15:07 | 	at com.rabbitmq.client.impl.recovery.RecoveryAwareAMQConnectionFactory.newConnection(RecoveryAwareAMQConnectionFactory.java:64)
INFO   | jvm 2    | 2018/08/31 13:15:07 | 	at com.rabbitmq.client.impl.recovery.AutorecoveringConnection.init(AutorecoveringConnection.java:138)
